,Heating,Cooling,Parking,Bedrooms,Bathrooms,Total interior livable area,Elementary School Score,Middle School Score,High School Score,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed Price
13629,"Central, Wall Furnace",Central Air,"Driveway, Garage - Two Door",3,1.0,1020.0,8.0,7.0,8.0,Wood,"Central, Wall Furnace",Central Air,"Dishwasher, Microwave, Refrigerator, Washer, Dryer","In Kitchen, Stackable","Driveway, Garage - Two Door",851874.0,10632.0,988000.0
13630,"Forced air, Gas",Other,"Garage, Garage - Detached, Off-street, Covered",3,2.0,1388.0,7.0,7.0,9.0,"Carpet, Hardwood, Laminate","Forced air, Gas",Other,"Dryer, Washer",In Unit,"Garage, Garage - Detached, Off-street, Covered",79792.0,1344.0,1850000.0
13632,Forced Air,Central Air,"Garage Door Opener, Attached",4,3.0,3750.0,8.0,9.0,10.0,"Carpet, Hardwood",Forced Air,Central Air,"Gas Water Heater, Dishwasher, Gas Range, Range",Laundry Room,"Garage Door Opener, Attached",266968.0,4475.0,1885000.0
13633,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",3,3.0,1969.0,5.0,5.0,6.0,"Tile, Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Range / Oven",Inside,"Garage, Garage - Attached, Covered",90188.0,2433.0,1299950.0
13636,"Fireplace, Central Forced Air - Gas",Central AC,"Garage, Garage - Attached, Covered","Master Suite / Retreat, Walk-in Closet",3.0,2205.0,7.0,9.0,8.0,"Tile, Wood","Forced air, Other, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside, In Utility Room","Garage, Garage - Attached, Covered",1248697.0,17131.0,1780000.0
13648,Central Forced Air,None,"Garage, Garage - Attached",Ground Floor Bedroom,2.0,2764.0,6.0,6.0,6.0,"Laminate, Wood, Carpet",Forced air,None,"Dishwasher, Refrigerator","Gas Hookup, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached",308284.0,4368.0,2750000.0
13657,Wall Furnace,None,"Garage, Garage - Attached",3,1.0,1110.0,2.0,3.0,3.0,"Hardwood, Vinyl / Linoleum",Wall,None,Range / Oven,In Garage,"Garage, Garage - Attached",56592.0,1555.0,520000.0
13664,"Propane, Central",Central Air,"Garage, Garage - Attached, Garage - Detached, Off-street, Covered",3,2.0,1873.0,8.0,3.0,4.0,"Carpet, Laminate","Forced air, Electric, Propane / Butane",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Gas Hook-up, cabinets, Inside Area","Garage, Garage - Attached, Garage - Detached, Off-street, Covered",624519.0,7738.0,925000.0
13665,Central,Central Air,"Carport, Driveway",2,2.0,1162.0,6.0,7.0,8.0,Wood,Central,Central Air,"Dishwasher, Washer, Dryer","Inside, Laundry Room","Carport, Driveway",709813.0,9133.0,1099000.0
13666,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, Master Suite / Retreat, More than One Bedroom on Ground Floor, Walk-in Closet",3.0,2334.0,6.0,5.0,6.0,"Tile, Hardwood","Forced air, Gas",Central,"Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer","Tub / Sink, Washer / Dryer, In Utility Room","Garage, Garage - Attached, Covered",402627.0,5129.0,875000.0
13667,Central,Central Air,"Driveway, Garage",3,2.0,1881.0,8.0,7.0,7.0,Wood,Central,Central Air,"Dishwasher, Disposal, Refrigerator, Washer",Inside,"Driveway, Garage",1676880.0,20468.0,2078000.0
13675,Central,Central Air,"Driveway, Garage - Two Door",4,4.0,2740.0,6.0,7.0,8.0,Wood,Central,Central Air,"Dishwasher, Disposal, Microwave, Refrigerator, Oven, Range Hood",Upper Level,"Driveway, Garage - Two Door",1734000.0,20536.0,2225000.0
13677,Central Forced Air - Gas,Central AC,Covered,"Ground Floor Bedroom, Master Suite / Retreat, More than One Bedroom on Ground Floor, More than One Master Bedroom",3.0,2178.0,9.0,9.0,10.0,"Tile, Wood, Carpet","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Refrigerator","Inside, In Utility Room",Covered,2251456.0,26797.0,2600000.0
13681,"Fireplace, Central Forced Air - Gas, Radiant Floors",Whole House / Attic Fan,"Garage, Garage - Attached, Covered","Master Suite / Retreat, Walk-in Closet",3.0,2736.0,8.0,9.0,10.0,"Tile, Hardwood, Carpet","Forced air, Gas","Central, Solar","Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Upper Floor, Washer / Dryer, Inside, Electricity Hookup (110V)","Garage, Garage - Attached, Covered",902783.0,11815.0,2788000.0
13687,"Wall Furnace, Baseboard",None,"Garage, Garage - Attached, Covered",2,1.0,832.0,3.0,2.0,4.0,"Tile, Laminate",Baseboard,None,"Dishwasher, Microwave, Range / Oven","Inside, In Utility Room","Garage, Garage - Attached, Covered",281496.0,3319.0,514500.0
13690,Central Forced Air,Ceiling Fan,"Garage, Garage - Detached, Covered",4,2.0,2459.0,8.0,8.0,7.0,Hardwood,"Forced air, Gas",None,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Gas Hookup, Inside, Electricity Hookup (220V)","Garage, Garage - Detached, Covered",530557.0,8265.0,2198000.0
13691,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Master Suite / Retreat, Reverse Floor Plan",5.0,2885.0,8.0,8.0,9.0,Hardwood,"Other, Gas",Central,"Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Dryer, Washer, Inside, In Utility Room","Garage, Garage - Attached, Covered",1964275.0,23564.0,2695000.0
13697,Central,Central,Garage - Attached,3,4.0,1924.0,7.0,7.0,6.0,"Tile, Laminate",Forced air,Central,"Dishwasher, Garbage disposal, Microwave, Refrigerator",In Closet,Garage - Attached,955510.0,11643.0,1299000.0
13698,Forced Air,Central Air,"Garage Door Opener, Attached",3,2.0,1422.0,7.0,9.0,9.0,Concrete,Forced Air,Central Air,"Dishwasher, Microwave, Oven, Self Cleaning Oven, Trash Compactor","220 Volt Outlet, Gas Dryer Hookup, In Garage","Garage Door Opener, Attached",942351.0,11279.0,1100000.0
13699,Central Forced Air - Gas,None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",3.0,1363.0,9.0,9.0,10.0,"Wood, Carpet","Forced air, Gas",None,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","In Garage, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",370918.0,5925.0,1899000.0
13704,"Central, Forced Air",Central Air,"Driveway, Concrete, Driveway Level, Garage, Garage - Two Door, Public, Side By Side, On Street",3,3.0,1694.0,6.0,2.0,6.0,"Stone, Tile, Wood","Central, Forced Air",Central Air,"Dishwasher, Gas Oven, Gas Range","Common Area, Inside, See Remarks, Stackable","Driveway, Concrete, Driveway Level, Garage, Garage - Two Door, Public, Side By Side, On Street",1239300.0,15088.0,1200000.0
13709,Central,Central Air,Attached Carport,4,4.0,1225.0,4.0,2.0,3.0,Tile,Central,Central Air,"Disposal, Refrigerator, Washer",Laundry Room,Attached Carport,305438.0,3890.0,599000.0
13711,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",3,2.0,1427.0,8.0,7.0,9.0,Hardwood,"Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",1196032.0,4394.0,3198000.0
13712,"Propane, Central",Central Air,"Garage, Garage - Attached, Covered",3,3.0,2242.0,6.0,5.0,5.0,"Carpet, Tile, Laminate, Linoleum/Vinyl","Forced air, Electric, Propane / Butane",Central,"Dishwasher, Garbage disposal, Microwave, Refrigerator","cabinets, Inside Area","Garage, Garage - Attached, Covered",893619.0,10125.0,987500.0
13713,Central Forced Air - Gas,"Central AC, Whole House / Attic Fan","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3.0,2191.0,6.0,7.0,8.0,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Dishwasher, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator","In Garage, Tub / Sink, Gas Hookup, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",1232131.0,16400.0,1600000.0
13717,"Forced air, Gas",Central,"Garage, Garage - Attached, Covered",5,4.0,5528.0,4.0,3.0,4.0,"Tile, Carpet, Hardwood, Laminate","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven, Trash compactor",In Unit,"Garage, Garage - Attached, Covered",1698300.0,22312.0,1800000.0
13723,Central Forced Air - Gas,None,"Garage, Garage - Attached","Master Bedroom on Ground Floor, Walk-in Closet, More than One Master Bedroom",3.0,1970.0,8.0,8.0,9.0,"Hardwood, Carpet, Travertine","Forced air, Gas",None,"Dishwasher, Garbage disposal, Microwave, Refrigerator",Electricity Hookup (220V),"Garage, Garage - Attached",596456.0,8389.0,2159000.0
13724,Central,"Central Air, Ceiling Fan(s), Attic Fan, Whole House Fan","Garage, Garage - Attached, Covered",4,3.0,1557.0,7.0,6.0,7.0,"Wood, Carpet, Vinyl","Forced air, Electric, Gas",Central,"Dishwasher, Garbage disposal",In Garage,"Garage, Garage - Attached, Covered",82754.0,2280.0,1349888.0
13726,"Gas, Forced Air",Central AC,"Garage, Garage - Attached, Covered",3,1.0,1088.0,3.0,4.0,5.0,"Tile, Laminate","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven",In Garage,"Garage, Garage - Attached, Covered",438019.0,7115.0,725000.0
13735,Central Forced Air - Gas,None,"Garage, Garage - Attached","Walk-in Closet, More than One Master Bedroom on Ground Floor",2.0,1387.0,3.0,3.0,4.0,"Carpet, Vinyl / Linoleum","Forced air, Gas",None,"Microwave, Range / Oven","In Garage, Gas Hookup","Garage, Garage - Attached",207560.0,2459.0,499000.0
13743,"Fireplace, Central Forced Air","Ceiling Fan, Central AC","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Walk-in Closet",1.0,1176.0,6.0,5.0,7.0,"Laminate, Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Freezer, Garbage disposal, Microwave, Refrigerator","Inside, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",69661.0,2049.0,845000.0
13753,Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached",4,3.0,2630.0,7.0,6.0,7.0,"Tile, Wood, Carpet",Forced air,Central,"Dishwasher, Dryer, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached",608354.0,7009.0,1145000.0
13755,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",2.0,1635.0,2.0,5.0,5.0,Hardwood,Forced air,Central,Dishwasher,"In Garage, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",78738.0,966.0,817000.0
13757,"Central Forced Air - Gas, Radiant Floors","Ceiling Fan, Central AC","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Walk-in Closet",4.0,2900.0,5.0,6.0,7.0,"Tile, Hardwood, Carpet, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer","Washer / Dryer, Gas Hookup, Inside","Garage, Garage - Attached, Covered",1389835.0,15373.0,1499000.0
13758,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",3,2.0,1424.0,4.0,5.0,4.0,Hardwood,Forced air,Central,"Dishwasher, Microwave, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",307150.0,5427.0,900000.0
13764,Central Forced Air - Gas,None,"Garage, Garage - Attached",3,1.0,1490.0,5.0,4.0,7.0,"Tile, Laminate, Carpet","Forced air, Gas",None,"Microwave, Refrigerator",In Garage,"Garage, Garage - Attached",742318.0,10250.0,1288000.0
13773,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",4,3.0,1675.0,5.0,8.0,7.0,"Hardwood, Slate, Laminate","Forced air, Gas",Central,"Dishwasher, Range / Oven",In Garage,"Garage, Garage - Attached, Covered",99654.0,1552.0,2199500.0
13776,Forced Air,"Ceiling Fan(s), Central Air","Garage Door Opener, Attached, Int Access From Garage, Off Street, RV/Boat Parking",4,2.0,1976.0,6.0,9.0,9.0,"Engineered Wood, Tile",Forced Air,"Ceiling Fan(s), Central Air","Gas Water Heater, Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Microwave, Free-Standing Range","Hookups Only, Laundry Room","Garage Door Opener, Attached, Int Access From Garage, Off Street, RV/Boat Parking",558894.0,6834.0,1399000.0
13786,"Fireplace, Central Forced Air - Gas",Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor, Walk-in Closet",5.0,4477.0,3.0,4.0,5.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Gas Hookup, Inside, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",3315000.0,43874.0,3300000.0
13788,"Fireplace, Central Forced Air",None,"Garage, Garage - Attached, Covered",4,2.0,1504.0,9.0,9.0,10.0,"Tile, Carpet","Forced air, Other, Gas",None,"Dishwasher, Dryer, Range / Oven, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Attached, Covered",338927.0,5357.0,1998000.0
13789,"Gas, Fireplace, Solar, Central Forced Air, Solar and Gas",Central AC,"Garage, Garage - Attached, Covered",Walk-in Closet,3.0,2639.0,6.0,5.0,6.0,"Hardwood, Travertine","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Washer",Washer / Dryer,"Garage, Garage - Attached, Covered",673471.0,8553.0,949888.0
13801,"Heating - 2+ Zones, Central Forced Air","Multi-Zone, Central AC, Whole House / Attic Fan","Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",5.0,4044.0,3.0,5.0,7.0,"Tile, Hardwood, Carpet, Travertine",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Trash compactor, Washer","Tub / Sink, Washer / Dryer","Garage, Garage - Attached, Covered",1471023.0,16555.0,1695000.0
13804,Wall Furnace,None,"Garage, Garage - Attached, Covered",3,2.0,1057.0,7.0,9.0,9.0,"Laminate, Carpet",Other,None,"Dishwasher, Garbage disposal, Microwave",In Garage,"Garage, Garage - Attached, Covered",70375.0,1013.0,899000.0
13809,Forced air,Central,"Garage, Garage - Attached, Covered",4,3.0,2810.0,9.0,7.0,8.0,"Tile, Hardwood",Forced air,Central,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",Inside,"Garage, Garage - Attached, Covered",1334064.0,16779.0,1785000.0
13810,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",2,2.0,1279.0,3.0,4.0,5.0,"Tile, Laminate","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",816000.0,10815.0,858000.0
13817,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",Ground Floor Bedroom,3.0,2555.0,8.0,7.0,9.0,"Tile, Hardwood","Forced air, Gas",Central,"Dryer, Garbage disposal, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",224474.0,3720.0,3300000.0
13819,Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor, Walk-in Closet",2.0,1220.0,6.0,6.0,7.0,"Tile, Wood",Forced air,Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",1458640.0,17488.0,1388000.0
13821,Central Forced Air - Gas,Window / Wall Unit,"Garage, Garage - Detached, Covered",More than One Bedroom on Ground Floor,2.0,1403.0,5.0,4.0,5.0,"Hardwood, Vinyl / Linoleum","Forced air, Gas",Wall,"Dishwasher, Garbage disposal, Microwave",In Utility Room,"Garage, Garage - Detached, Covered",638528.0,8603.0,949000.0
13827,Central,None,Circular Driveway,3,3.0,2504.0,2.0,7.0,7.0,Wood,Central,None,"Gas Range, Dryer, Washer",Inside,Circular Driveway,474491.0,6086.0,1450000.0
13829,Wall Furnace,Wall/Window Unit(s),"Direct Access, Garage",2,1.0,911.0,5.0,3.0,2.0,Laminate,Wall Furnace,Wall/Window Unit(s),Gas Range,Inside,"Direct Access, Garage",482848.0,5979.0,679000.0
13832,Central Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",2.0,1204.0,9.0,7.0,7.0,Hardwood,"Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Dryer, Washer, Tub / Sink","Garage, Garage - Attached, Covered",953470.0,12903.0,1299999.0
13837,Forced Air,None,Garage - Two Door,3,2.0,1560.0,8.0,2.0,6.0,"Wood, Laminate",Forced Air,None,"Refrigerator, Washer, Dryer",Laundry Room,Garage - Two Door,94770.0,1648.0,1150000.0
13838,Central,"Central, Air Conditioning","Garage, Garage - Attached, Covered",4,4.0,3900.0,9.0,7.0,6.0,"Carpet, Wood",Forced air,Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",On Upper Level,"Garage, Garage - Attached, Covered",1691542.0,20753.0,2650000.0
13839,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",4,2.0,1399.0,7.0,6.0,7.0,"Tile, Wood",Forced air,Central,"Dishwasher, Freezer, Garbage disposal, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",449396.0,7175.0,1599000.0
13842,Forced Air,Central AC,"Garage, Garage - Attached, Covered",3,2.0,1587.0,9.0,9.0,8.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Attached, Covered",498892.0,7677.0,1599000.0
13843,"Central Forced Air - Gas, Radiant Floors",None,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",3.0,1932.0,8.0,7.0,9.0,"Tile, Carpet","Radiant, Gas",None,"Microwave, Range / Oven","In Garage, Tub / Sink","Garage, Garage - Attached, Covered",845388.0,10907.0,2795000.0
13845,"Fireplace, Central Forced Air",Central AC,"Underground/Basement, Garage - Attached",4,2.0,1650.0,5.0,5.0,6.0,"Tile, Hardwood","Other, Gas",Central,"Dryer, Freezer, Garbage disposal, Microwave, Refrigerator, Washer","In Garage, Washer / Dryer","Underground/Basement, Garage - Attached",991966.0,10972.0,2095000.0
13846,"Central, Fireplace(s), Natural Gas",Central Air,"Garage, Garage - Single Door",3,3.0,3034.0,4.0,5.0,4.0,"Carpet, Stone, Wood","Central, Fireplace(s), Natural Gas",Central Air,"Dishwasher, Disposal, Gas Cooking, Gas Cooktop, Refrigerator, Vented Exhaust Fan, Water Line to Refrigerator","Common Area, Gas Dryer Hookup, Laundry Room, Inside","Garage, Garage - Single Door",747217.0,9298.0,1275000.0
13851,Central,Ceiling Fan(s),"Attached, On Site (Single Family Only)",3,2.0,2171.0,3.0,3.0,3.0,Wood,Central,Ceiling Fan(s),"Dishwasher, Double Oven",Inside Room,"Attached, On Site (Single Family Only)",89938.0,1868.0,2395000.0
13852,Central Forced Air,Central AC,"Garage, Garage - Detached, Covered",Master Suite / Retreat,2.0,2246.0,4.0,3.0,5.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer","Tub / Sink, Washer / Dryer, Inside","Garage, Garage - Detached, Covered",1327815.0,16690.0,1699000.0
13861,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",Master Bedroom on Ground Floor,2.0,1275.0,6.0,5.0,7.0,"Hardwood, Laminate, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven","In Garage, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",463682.0,6715.0,1150000.0
13863,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",4,2.0,1305.0,6.0,7.0,6.0,Laminate,"Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",Electricity Hookup (220V),"Garage, Garage - Attached, Covered",870355.0,12682.0,1100000.0
13869,Central Forced Air - Gas,Ceiling Fan,"Garage, Garage - Attached, Covered",Master Bedroom on Ground Floor,2.0,1389.0,9.0,9.0,10.0,"Hardwood, Laminate","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",381521.0,5460.0,1750000.0
13876,Forced Air,Central AC,"Garage, Garage - Attached",4,3.0,1936.0,6.0,5.0,7.0,"Tile, Hardwood",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","Washer / Dryer, In Utility Room","Garage, Garage - Attached",579875.0,7986.0,999999.0
13879,Central Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor, Walk-in Closet",2.0,2429.0,3.0,5.0,7.0,"Hardwood, Concrete","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave","Tub / Sink, Inside, In Utility Room, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",959161.0,10811.0,1174950.0
13888,Central Forced Air,Central,"Garage, Garage - Attached, Covered",More than One Bedroom on Ground Floor,1.0,2064.0,5.0,5.0,5.0,"Laminate, Carpet","Forced air, Gas",Central,"Dryer, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",714000.0,7800.0,729000.0
13891,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor, Walk-in Closet",2.0,1532.0,9.0,9.0,10.0,"Tile, Hardwood, Laminate","Forced air, Other, Gas",Central,"Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Garage,"Garage, Garage - Attached, Covered",92689.0,2443.0,1980000.0
13892,Forced Air,Central AC,"Garage, Garage - Attached, Covered",Ground Floor Bedroom,2.0,2186.0,8.0,9.0,10.0,"Tile, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Inside, In Utility Room","Garage, Garage - Attached, Covered",348983.0,5236.0,2099000.0
13894,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",3,2.0,1310.0,9.0,9.0,10.0,"Tile, Hardwood, Laminate",Forced air,Central,Dishwasher,In Garage,"Garage, Garage - Attached, Covered",64369.0,2472.0,1749000.0
13896,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",Master Suite / Retreat,2.0,1833.0,10.0,9.0,6.0,Hardwood,"Other, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer",Inside,"Garage, Garage - Attached, Covered",1616553.0,19728.0,2150000.0
13903,"Gas, Forced Air",Central AC,"Garage, Carport, Covered","Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",2.0,1001.0,7.0,5.0,6.0,"Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Dryer, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Carport, Covered",47051.0,705.0,998888.0
13907,"Forced air, Gas",Central,"Garage, Garage - Attached, Covered",4,3.0,2221.0,7.0,5.0,6.0,"Tile, Carpet, Laminate","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven",Inside,"Garage, Garage - Attached, Covered",799000.0,10140.0,769000.0
13910,Central Forced Air - Gas,None,"Garage, Garage - Attached",3,2.0,1489.0,6.0,6.0,7.0,"Wood, Carpet","Forced air, Gas",None,"Dishwasher, Garbage disposal, Microwave, Range / Oven","Gas Hookup, Inside","Garage, Garage - Attached",76481.0,1910.0,1100000.0
13914,Forced Air,Central Air,"Garage Door Opener, Attached",4,3.0,2580.0,8.0,8.0,9.0,"Hardwood Flrs Throughout, Tile",Forced Air,Central Air,"Gas Water Heater, Dishwasher, Electric Range, Microwave, Oven, Refrigerator","Dryer, Laundry Room, Washer","Garage Door Opener, Attached",878928.0,11345.0,2498000.0
13915,Central,Central Air,"Detached Carport, Driveway, Garage - Two Door",3,2.0,1264.0,7.0,7.0,6.0,Wood,Central,Central Air,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Laundry Room,"Detached Carport, Driveway, Garage - Two Door",828225.0,10105.0,1290000.0
13921,Wall Furnace,None,"Garage, Garage - Attached",2,1.0,766.0,5.0,4.0,7.0,"Tile, Hardwood, Wood","Wall, Gas",None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Dryer, Washer","Garage, Garage - Attached",541056.0,7130.0,1195000.0
13924,"Heating - 2+ Zones, Solar, Central Forced Air - Gas, Radiant Floors","Ceiling Fan, Multi-Zone, Central AC","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor, Walk-in Closet",4.0,4520.0,9.0,8.0,8.0,"Tile, Hardwood, Carpet, Stone","Forced air, Radiant, Gas",Central,"Dishwasher, Freezer, Garbage disposal, Microwave, Refrigerator","Tub / Sink, Inside, In Utility Room","Garage, Garage - Attached, Covered",2439000.0,32827.0,3480000.0
13933,Central Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",Walk-in Closet,3.0,1802.0,7.0,6.0,7.0,"Tile, Hardwood, Marble",Forced air,Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",Inside,"Garage, Garage - Attached, Covered",626189.0,9102.0,1850000.0
13938,Central,Central Air,Garage - Two Door,3,2.0,1295.0,6.0,3.0,6.0,"Carpet, Wood",Central,Central Air,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Inside,Garage - Two Door,97241.0,1430.0,1260000.0
13942,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",More than One Bedroom on Ground Floor,2.0,1800.0,8.0,5.0,6.0,Wood,"Forced air, Gas",Central,"Dryer, Washer",Washer / Dryer,"Garage, Garage - Attached, Covered",1268142.0,16077.0,1388000.0
13943,Central Forced Air,None,Off-street,2,1.0,849.0,3.0,6.0,7.0,Tile,"Other, Gas",None,Range / Oven,Inside,Off-street,554858.0,6625.0,649000.0
13950,"Gas, Hot Water, Wall Furnace",Ceiling Fan(s),"Attached, Independent, On Site (Single Family Only), Driveway",4,2.0,1154.0,6.0,7.0,9.0,"Simulated Wood, Tile","Gas, Hot Water, Wall Furnace",Ceiling Fan(s),"Dishwasher, Range Hood",In Garage,"Attached, Independent, On Site (Single Family Only), Driveway",369006.0,4611.0,888000.0
13951,Central Forced Air,None,"Garage, Garage - Attached",3,2.0,1500.0,6.0,6.0,6.0,"Wood, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer","In Garage, Tub / Sink, Washer / Dryer, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached",780983.0,9685.0,1475000.0
